,count,mean,std,min,25%,50%,75%,max
DongXe_ducato,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_dòng khác,37486.0,0.013391666222056234,0.11494643086076138,0.0,0.0,0.0,0.0,1.0
DongXe_e class,37486.0,0.011230859520887797,0.1053803755918029,0.0,0.0,0.0,0.0,1.0
DongXe_e180,37486.0,0.0003201195112842128,0.017889258564434223,0.0,0.0,0.0,0.0,1.0
DongXe_e200,37486.0,0.0005068558928666702,0.022508054218053162,0.0,0.0,0.0,0.0,1.0
DongXe_e240,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_e250,37486.0,0.0013871845488982553,0.037219581176866925,0.0,0.0,0.0,0.0,1.0
DongXe_e300,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_e350,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_eclipse,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_ecosport,37486.0,0.014778850770954489,0.12066824260972826,0.0,0.0,0.0,0.0,1.0
DongXe_el,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_elantra,37486.0,0.012084511550979032,0.10926479130219165,0.0,0.0,0.0,0.0,1.0
DongXe_elantra_gt,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_electra,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_element,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_emgrand,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_emighty,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_eon,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_ertiga,37486.0,0.003974817265112308,0.06292156791501231,0.0,0.0,0.0,0.0,1.0
DongXe_es,37486.0,0.0009336819079122872,0.03054234815626178,0.0,0.0,0.0,0.0,1.0
DongXe_es_250,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_es_350,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_escalade,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
DongXe_escalade_esv,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_escape,37486.0,0.0029877821053193193,0.05457961827768661,0.0,0.0,0.0,0.0,1.0
DongXe_escort,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_espero,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_evanda,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_everest,37486.0,0.018780344662007148,0.13575026672845003,0.0,0.0,0.0,0.0,1.0
DongXe_explorer,37486.0,0.0029877821053193193,0.05457961827768661,0.0,0.0,0.0,0.0,1.0
DongXe_explorer_sport,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_f 150,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_f 450 ,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_f pace,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_f0,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_f150,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_f_150,37486.0,0.00018673638158245745,0.013664058394397084,0.0,0.0,0.0,0.0,1.0
DongXe_fadil,37486.0,0.0008536520300912341,0.029205240317891568,0.0,0.0,0.0,0.0,1.0
DongXe_fadil ,37486.0,0.006215653844101798,0.07859506522566441,0.0,0.0,0.0,0.0,1.0
DongXe_fiesta,37486.0,0.0038947873872912553,0.06228741057692716,0.0,0.0,0.0,0.0,1.0
DongXe_fj cruiser,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_flex,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_fluence,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_flying spur,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
DongXe_focus,37486.0,0.008083017659926372,0.08954270699425018,0.0,0.0,0.0,0.0,1.0
DongXe_focus c max,37486.0,0.00010670650376140426,0.010329470645929964,0.0,0.0,0.0,0.0,1.0
DongXe_forester,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_forte,37486.0,0.004348290028277224,0.0657989201925317,0.0,0.0,0.0,0.0,1.0
DongXe_fortuner,37486.0,0.03251880702128795,0.17737579743537257,0.0,0.0,0.0,0.0,1.0
DongXe_freelander,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_frontier,37486.0,0.00048017926692631917,0.021908023611254757,0.0,0.0,0.0,0.0,1.0
DongXe_fuso,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_fuso_canter,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_fx,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_g63,37486.0,8.00298778210532e-05,0.00894570331795748,0.0,0.0,0.0,0.0,1.0
DongXe_galant,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_galloper,37486.0,0.00024008963346315958,0.015493172491310717,0.0,0.0,0.0,0.0,1.0
DongXe_gemini,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_genesis,37486.0,0.0004535026409859681,0.021291056082239294,0.0,0.0,0.0,0.0,1.0
DongXe_gentra,37486.0,0.0027210158459158086,0.05209303514504947,0.0,0.0,0.0,0.0,1.0
DongXe_gentrax,37486.0,0.0003201195112842128,0.017889258564434223,0.0,0.0,0.0,0.0,1.0
DongXe_getz,37486.0,0.004881822547084245,0.06970021487737187,0.0,0.0,0.0,0.0,1.0
DongXe_ghibli,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_ghost,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_gl class,37486.0,0.0008803286560315852,0.029657665815760823,0.0,0.0,0.0,0.0,1.0
DongXe_gla class,37486.0,0.0008002987782105319,0.028278607335414593,0.0,0.0,0.0,0.0,1.0
DongXe_gla200,37486.0,0.00010670650376140426,0.010329470645929966,0.0,0.0,0.0,0.0,1.0
DongXe_glb,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
DongXe_glc,37486.0,0.007309395507656192,0.08518310756765887,0.0,0.0,0.0,0.0,1.0
DongXe_glc class,37486.0,0.0008803286560315852,0.029657665815760827,0.0,0.0,0.0,0.0,1.0
DongXe_glc200,37486.0,0.00026676625940351065,0.0163310198665437,0.0,0.0,0.0,0.0,1.0
DongXe_glc250,37486.0,0.00024008963346315958,0.015493172491310716,0.0,0.0,0.0,0.0,1.0
DongXe_glc300,37486.0,0.00048017926692631917,0.021908023611254757,0.0,0.0,0.0,0.0,1.0
DongXe_gle class,37486.0,0.00026676625940351065,0.016331019866543704,0.0,0.0,0.0,0.0,1.0
DongXe_gle400,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_gle400_coupe,37486.0,0.00024008963346315958,0.015493172491310716,0.0,0.0,0.0,0.0,1.0
DongXe_gle450,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_glk class,37486.0,0.0010937416635543936,0.033054115310050064,0.0,0.0,0.0,0.0,1.0
DongXe_glk250,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_gls400,37486.0,2.6676625940351065e-05,0.005164942007452849,0.0,0.0,0.0,0.0,1.0
DongXe_gls450,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_golf,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_grand,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_grand caravan,37486.0,5.335325188070213e-05,0.007304233605108038,0.0,0.0,0.0,0.0,1.0
DongXe_grand i10,37486.0,0.03758736594995465,0.19019863540976945,0.0,0.0,0.0,0.0,1.0
DongXe_grand livina,37486.0,0.00021341300752280852,0.01460729798719998,0.0,0.0,0.0,0.0,1.0
DongXe_grand starex,37486.0,0.002134130075228085,0.046147940099817694,0.0,0.0,0.0,0.0,1.0
DongXe_grand vitara,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_grandeur,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_grandis,37486.0,0.0014138611748386065,0.037575255636398325,0.0,0.0,0.0,0.0,1.0
DongXe_grunder,37486.0,5.335325188070213e-05,0.007304233605108039,0.0,0.0,0.0,0.0,1.0
DongXe_gs,37486.0,0.0002934428853438617,0.017127889612987068,0.0,0.0,0.0,0.0,1.0
DongXe_gx,37486.0,0.0010403884116736916,0.03223869925328374,0.0,0.0,0.0,0.0,1.0
DongXe_gx_460,37486.0,0.00018673638158245745,0.013664058394397084,0.0,0.0,0.0,0.0,1.0
DongXe_h 1,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_h2,37486.0,2.6676625940351065e-05,0.0051649420074528505,0.0,0.0,0.0,0.0,1.0
DongXe_hi lander,37486.0,0.00200074694552633,0.04468553708974467,0.0,0.0,0.0,0.0,1.0
DongXe_hiace,37486.0,0.0038947873872912553,0.06228741057692716,0.0,0.0,0.0,0.0,1.0
DongXe_highlander,37486.0,0.0003467961372245638,0.018619482217639226,0.0,0.0,0.0,0.0,1.0
DongXe_hilux,37486.0,0.0038681107613509043,0.06207456219927506,0.0,0.0,0.0,0.0,1.0
DongXe_honor,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_hr-v,37486.0,0.003307901616603532,0.05741992126080869,0.0,0.0,0.0,0.0,1.0
DongXe_hr_v,37486.0,0.0008536520300912341,0.029205240317891564,0.0,0.0,0.0,0.0,1.0
DongXe_hunter,37486.0,0.0001600597556421064,0.01265062867218139,0.0,0.0,0.0,0.0,1.0
DongXe_huracan,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_i10,37486.0,0.0011737715413754467,0.034240693306201546,0.0,0.0,0.0,0.0,1.0
DongXe_i20,37486.0,0.002827722349677213,0.05310180372437228,0.0,0.0,0.0,0.0,1.0
DongXe_i3,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_i30,37486.0,0.0010670650376140426,0.032648963932998515,0.0,0.0,0.0,0.0,1.0
DongXe_i8,37486.0,0.0001600597556421064,0.012650628672181388,0.0,0.0,0.0,0.0,1.0
DongXe_impreza,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_innova,37486.0,0.05105906204983194,0.22012116391591716,0.0,0.0,0.0,0.0,1.0
DongXe_intergra,37486.0,8.00298778210532e-05,0.008945703317957483,0.0,0.0,0.0,0.0,1.0
DongXe_io,37486.0,5.335325188070213e-05,0.0073042336051080394,0.0,0.0,0.0,0.0,1.0
DongXe_is,37486.0,0.00026676625940351065,0.016331019866543704,0.0,0.0,0.0,0.0,1.0
DongXe_jazz,37486.0,0.0006669156485087766,0.025816441499459324,0.0,0.0,0.0,0.0,1.0
DongXe_jeep,37486.0,2.6676625940351065e-05,0.00516494200745285,0.0,0.0,0.0,0.0,1.0
DongXe_jolie,37486.0,0.005708797951235128,0.07534161534831156,0.0,0.0,0.0,0.0,1.0
DongXe_k200,37486.0,0.00013338312970175532,0.011548545210312407,0.0,0.0,0.0,0.0,1.0
DongXe_k250,37486.0,0.00010670650376140426,0.010329470645929966,0.0,0.0,0.0,0.0,1.0
